NAME	Tumor_POU1F1	Neutrophil	Mast	Fibroblast	T_NK_cell	Epithelial	Tumor_NR5A1	Endothelial	MDC	Tumor_TBX19
AFAP1L1	1	1	1	1	1	1	1	123.017478932497	1	1
AFAP1L2	1	1	1	95.7802302373419	1	1	1	1	1	1
AFF2	78.7675993216735	1	51.582047826637	1	70.0296956376544	1	1	1	1	1
AGAP2	1	1	1	52.5960539725994	1	1	1	1	1	1
AGAP6	1	35.0144358652501	1	1	1	1	1	1	31.7387919144639	32.1545018397353
AGGF1	36.0863426891269	1	1	1	36.5821551866299	44.787477460594	1	1	33.1439269893563	1
AGK	1	26.348757237147	1	1	1	1	36.8826902163817	1	1	35.7000239134286
AGMO	1	1	1	1	1	1	1	1	1	81.9880841277334
AGO4	1	43.4974505702171	1	1	1	1	1	33.3883570095091	38.3314907010721	1
AGR2	1	1	1	1	1	1213.0601742028	1	1	1	1
AGR3	1	1	1	1	1	290.902959698799	1	1	1	1
AGRN	1	1	1	169.140961403996	1	146.681629311967	1	170.191081118796	1	1
AGT	1	1	1	193.043108596962	1	1	1	117.721792153543	1	104.910109367087
AGTPBP1	1	20.162532051006	1	1	1	1	34.9313906636659	39.4207017162351	1	1
AGTRAP	1	84.6605021558895	1	1	1	37.6516721629224	1	1	1	1
AHNAK	1	1	361.307422273119	473.719831828437	85.3163961266909	197.830191205231	1	398.494339965499	85.462019170943	1
AHR	37.0376702267225	1	339.367931194278	157.118016153042	1	142.259233863271	1	147.271610479402	92.2042127242017	1
AIF1	1	54.8814091162217	1	1	1	1	1	1	328.327251487489	1
AIF1L	1	1	1	1	1	91.5698966616958	1	112.976030938639	1	1
AIFM2	1	1	44.4417529390534	1	1	1	1	1	1	1
AK4	41.1476948969476	1	1	42.773514446337	51.3565965364537	48.6011205318202	1	1	1	1
AK7	1	1	1	1	1	1	1	1	1	51.2563196880718
AKAP10	1	1	1	37.7014923155072	1	1	33.8955017630348	1	1	30.4145733738374
AKAP5	59.8151308026983	1	1	1	52.2358483315278	1	1	1	1	1
AKAP8L	1	1	76.9722326320696	1	1	1	32.3598488042532	1	1	44.182975059184
AKNA	1	43.4757983529758	1	1	91.2059327322389	1	38.6108955501038	1	58.5311457859527	1
AKR1B10	116.965211505769	1	1	1	53.2884418764509	1	43.6517394204969	1	40.9178103917261	117.375428522565
AKR1C3	1	1	1	1	1	104.410223622018	1	63.2116133591872	1	1
ALDH16A1	1	1	1	1	1	1	1	1	29.4978416532305	1
ALDH1A2	89.1543678186614	1	1	1	56.5792994151426	229.517409999416	1	1	1	1
ALDH1A3	63.4128154585783	1	1	75.4279017677662	89.0407065556264	189.699431771885	1	1	1	1
ALDH1L2	1	1	1	1	1	45.3625579406161	1	1	1	1
ALDH3B1	1	1	1	1	1	30.4817177556768	1	1	47.1142477818886	1
ALDH4A1	1	1	1	1	1	96.579141664856	1	1	1	1
ALG1	45.5606286153979	1	1	1	42.1034807849432	1	1	1	31.2544723545771	31.7444784477326
ALG3	43.1212182631075	1	1	1	50.9872115027735	40.0916736406317	1	1	30.0564408629974	1
ALG9	1	45.4294186554604	1	1	1	1	1	1	1	1
ALKBH1	37.338102558519	20.2618683572189	1	1	31.2942882414371	1	1	1	1	26.338733270703
ALKBH3	1	1	1	1	1	1	1	1	1	27.3357196622242
ALOX15	1	1	1	1	1	285.309836079127	1	1	1	1
ALOX5AP	1	591.27665190891	160.042520888201	1	45.7453027110056	1	1	1	82.2243594373755	1
ALPK2	1	1	1	1	1	1	1	1	1	62.3807830534241
ALPL	1	1	1	1	1	1	1	89.5361726691223	1	1
AMIGO1	1	1	61.205184851733	1	1	1	69.1030992125446	1	1	66.6064413839758
AMMECR1	1	49.1337006351737	1	1	1	36.8044037347113	72.393487642536	1	33.9455879755515	1
AMOT	1	1	1	1	1	237.708794171716	1	1	1	40.9914024256542
AMOTL2	1	1	1	132.711183679474	1	173.513370160986	1	120.314873052209	1	1
AMY2B	1	1	1	1	1	1	1	1	1	73.4445481669693
ANAPC1	35.7194046421351	1	76.1513696808799	1	1	1	30.4181257472801	1	31.244522956579	1
ANGEL1	53.2413646922289	44.6663070805406	1	1	33.9853591448534	1	1	1	1	1
ANGPT1	47.2685439799694	26.348757237147	1	173.808156683963	69.9822036210639	1	1	1	1	1
ANGPT2	1	1	1	167.247859503592	1	1	1	442.916202572318	1	1
ANGPTL2	1	1	1	103.842895472415	1	1	1	95.7020460415525	1	1
ANGPTL4	1	1	1	72.7029229103056	1	1	1	41.9171698281884	1	1
ANGPTL7	1	1	1	1	1	1	1	1	46.754735453337	217.369177348743
ANKAR	1	1	61.205184851733	1	1	1	1	1	1	1
ANKEF1	1	1	1	1	1	1	26.0155710930915	1	1	1
ANKRD13D	1	82.4359137196583	61.205184851733	1	1	1	1	1	1	1
ANKRD24	1	1	1	1	1	1	1	1	1	58.4145461097509
ANKRD28	1	1	184.652054659403	90.7711700451515	49.7671169116193	36.9402121379247	34.9042402818839	71.5649800460631	1	37.0408250642007
ANKRD34A	49.4857139312072	1	1	1	47.6572415285333	1	1	1	1	1
ANKRD35	1	1	1	1	1	41.0713404430338	1	1	1	1
ANKRD36	1	1	44.4417529390534	1	1	1	37.3587793344742	1	1	1
ANKRD36B	43.3011565725702	74.2262445588459	1	1	1	1	31.1794176256255	1	1	1
ANKRD44	1	1	148.040786106978	38.6770216268083	41.6747374838803	1	1	1	37.2159993175148	1
ANKRD49	1	1	61.205184851733	1	38.7228264191474	1	1	1	29.8437307091559	25.505058930258
ANKRD50	1	1	1	76.0140757873135	1	1	57.1890019700525	63.5666862507881	1	1
ANKRD6	1	1	1	1	1	45.8596320942821	1	1	1	1
ANKS1B	89.0244265079989	1	51.582047826637	1	101.904774216352	1	66.7662013720055	1	52.2039477533759	1
ANO1	1	1	1	319.361582197927	1	1	1	79.8498283702005	1	1
ANO3	1	43.4757983529758	51.582047826637	1	1	1	23.5376305481466	1	1	1
ANO4	38.8083812627143	1	1	1	1	1	1	1	1	1
ANO5	38.7738990319777	1	1	1	1	1	60.4462028285077	1	36.4418835431636	74.9151920389687
ANO6	1	1	44.3259294225525	120.304269642435	1	132.634405748239	1	87.2627117610818	1	1
ANPEP	1	1	1	1	1	84.630653255884	1	1	1	1
ANTXR2	1	1	1	87.5616860073785	1	45.1346613078025	1	1	1	1
ANXA1	1	1	481.764072410831	405.805096416226	108.890615808448	1322.92401149359	1	401.991337682464	138.847144058069	1
ANXA3	1	23.6291347900108	1	1	1	183.451325059189	1	71.3468832172303	1	1
ANXA4	1	1	1	70.821493520282	1	123.77097483359	1	42.4740550850226	1	1
AP1S3	1	1	147.5890488785	1	1	1	1	1	1	1
AP4E1	1	1	44.3259294225525	1	1	1	1	1	1	1
AP4M1	1	1	1	1	1	1	1	1	1	34.2269991139048
AP5S1	1	45.5112892881531	1	1	1	1	1	1	1	28.7346478824592
APAF1	1	1	1	1	1	1	1	1	28.6449840787888	1
APBA1	1	87.6433744674988	163.848227991703	38.6107920838654	1	1	66.1724871735619	1	1	1
APBA3	1	1	61.205184851733	1	1	1	1	1	1	1
APBB1IP	1	81.142712719297	1	1	1	1	1	1	136.797652146805	1
APC2	1	57.6435706552609	1	1	1	1	31.7328977161431	1	1	1
APCDD1	1	1	1	69.9453320796382	1	1	1	1	1	1
APEX2	38.0705123414456	1	1	1	44.8039843949713	1	1	1	36.0747774487517	1
APOBEC3G	1	79.0161589910359	1	1	50.7301204853187	1	45.8081505348562	1	1	1
APOC1	1	1	1	1	1	1	1	1	322.539705497334	1
APOD	1	1	1	359.362268790536	1	1	1	117.614660762413	1	1
APOE	1	1	61.205184851733	144.592654711761	1	59.2337917639926	1	1	422.937797412234	1
APOL3	1	1	1	1	1	1	1	110.96759676568	1	1
APOLD1	1	1	1	253.437584692245	1	1	1	581.255423798275	1	1
AQP1	1	1	1	1	1	167.600026255964	1	226.917811394227	1	1
AQP3	1	1	1	1	1	182.380327042186	1	1	1	1
AQP4	1	1	1	1	1	118.643218176817	1	1	1	44.062111398708
AR	1	63.2908215461075	1	70.4132680927278	1	163.35855241046	155.213825795594	63.7166159955121	97.6905698984029	441.350735533828
ARAP1	1	21.9758545588611	1	1	1	1	25.9382257024937	1	39.8274206833821	1
ARAP2	1	1	1	1	39.8203084454297	34.2782843916552	1	1	1	1
ARAP3	1	1	1	1	1	1	1	83.6694194317536	1	1
ARC	59.9436057333406	228.786655915165	174.219648881232	1	67.1768281366544	91.7334690803231	542.364648576836	63.6861356274031	155.393657687824	1
AREG	1	1	609.203360010143	1	108.965104249495	1	1	1	1	1
ARFRP1	1	1	1	1	1	1	1	1	1	55.9802648690414
ARHGAP10	1	1	1	189.781960133497	1	1	1	46.4361719193993	1	26.6033439314942
ARHGAP19	1	1	1	1	1	1	1	1	1	43.4616927502088
ARHGAP23	1	1	1	75.8541821851103	1	43.1131947383417	1	141.945591437599	1	1
ARHGAP25	1	1	31.087441404255	1	1	1	1	1	41.9651815796111	1
ARHGAP29	1	1	1	122.965601855431	1	61.7161419200631	1	259.265340174939	1	1
ARHGAP31	1	1	61.205184851733	36.2283782019313	1	1	1	132.261424240781	1	1
ARHGAP33	1	113.157662098175	61.205184851733	1	1	1	51.809631042113	1	37.9089545382818	77.55452032681
ARHGAP36	327.563364641644	1	205.944206620721	1	239.117635760939	49.7252177040365	1	1	93.0577184002757	1
ARHGAP39	1	1	44.3259294225525	1	1	1	1	1	1	1
ARHGAP42	1	1	1	173.041330839044	1	1	1	43.5598579106687	1	1
ARHGAP6	74.5996932690611	1	31.087441404255	90.068829068415	93.0264895507841	1	1	87.2563723703583	41.1464561634349	1
ARHGAP9	1	26.434790312712	44.7991696368008	1	62.8935562654693	1	1	1	31.2729473860858	1
ARHGDIB	1	211.743517536129	260.189325188753	531.845500525118	272.728789197008	1	1	436.231012461335	257.7569922802	1
ARHGEF1	1	27.8097160927793	1	32.9729612424014	81.398367987212	1	1	59.6147239157147	54.0288240920568	28.7352497097819
ARHGEF10L	1	1	1	1	1	66.1186207958275	1	1	1	1
ARHGEF17	1	1	1	198.916391931248	1	52.8042167982904	23.3781930206241	80.2401509830808	1	1
ARHGEF25	1	59.544467039311	1	77.1359606279838	1	1	1	1	1	29.1322283320716
ARHGEF26	1	1	1	1	1	44.6365348053985	1	1	1	1
ARHGEF35	1	1	1	1	1	43.2664189730358	1	1	1	1
ARHGEF37	1	41.6132716943417	44.3259294225525	1	1	29.9710540306422	1	1	1	1
ARHGEF4	1	1	1	1	1	1	36.7830569423493	1	1	1
ARHGEF6	1	1	103.684845703036	63.2111317105932	1	69.9164368629016	1	33.9729492048119	51.5482753159677	34.2644446411181
ARID3A	30.3146427212427	1	1	1	1	1	1	1	40.603247126938	1
ARID5A	1	26.8844082441653	1	57.7908195414378	1	1	1	130.87986180953	32.2357864877439	1
ARL10	1	43.4757983529758	1	1	1	1	51.2141399519959	1	1	1
ARL16	1	1	1	1	1	1	1	1	1	49.0854824715344
ARL4D	1	159.825042989253	44.3259294225525	32.3561745056845	1	109.500410303027	61.2088225169601	1	1	1
ARL6	28.99463044719	20.6824754872294	1	1	1	1	30.9958084194536	1	1	1
ARMC5	34.4582725947999	1	1	35.9036190417061	33.2961516930662	1	1	1	30.6064242456401	1
ARMC9	29.0174867143242	1	1	1	37.8781316772432	33.5823483272859	1	1	1	1
ARMH4	49.1098829933502	1	1	1	38.5281899733303	1	1	1	1	1
ARNT2	38.7177225309592	47.3384985220798	1	1	1	1	36.4530573449296	1	1	1
ARPC1B	31.3708615624613	1	1	1	41.663986292988	1	1	30.1497918536732	48.5815209971081	1
ARPP21	86.4420220580856	1	1	1	78.774554329764	1	1	1	1	1
ARRB2	33.2849412244283	137.636035487792	1	1	68.3743048789323	1	37.5875441477298	32.3538210789236	225.541278803419	83.0039870485685
ARRDC1	1	1	1	1	1	32.9915725641923	1	1	1	48.1460557463853
ARRDC2	1	1	1	40.7908536535499	1	50.3365374553175	1	144.599443423704	71.8064127359402	1
ARRDC4	1	1	1	43.2783861293819	1	1	1	1	29.4158681368994	43.1784474716164
ARSB	1	1	1	42.939269589285	1	1	1	1	1	1
ARSK	36.6893935419358	1	1	40.0944100714523	40.9235195484477	1	1	1	1	1
ARX	35.3038239829846	1	1	1	42.0155146919308	1	1	1	1	1
ASAH2B	1	1	1	1	1	1	1	1	1	34.435368532841
ASB4	122.443985600559	1	61.3907166056601	1	98.458928987721	1	1	1	42.472384964186	43.7934311153986
ASB7	31.7583142087778	1	1	1	1	1	1	1	1	1
ASIC3	1	1	1	1	1	1	1	1	1	92.5861392167552
ASMTL	1	1	1	1	1	1	30.971998723334	1	1	1
ASPHD1	76.6481135300127	1	1	1	58.9871602929174	1	1	1	29.7616538863576	46.2448284531383
ASPHD2	1	42.6771588255243	1	1	1	1	50.2233705636657	1	1	1
ASPN	1	1	1	403.334769173674	1	1	1	76.0358152635052	1	1
ASTN2	1	101.951603783293	1	1	1	38.9681482244244	81.3145328918967	1	1	1
ASXL3	1	1	1	1	1	45.2463988195027	1	1	1	1
ATAD2B	1	63.5551571103076	1	1	1	1	1	1	1	1
ATAD3A	1	1	1	1	31.9143391778048	1	1	1	1	29.9001289166737
ATAD3C	1	1	1	1	1	66.519708334877	1	1	1	1
ATAD5	1	38.9747364027622	1	1	1	1	1	1	1	1
ATG10	1	1	51.582047826637	1	1	1	1	1	1	1
ATG14	1	1	1	1	1	1	32.069266606138	1	1	41.9965153255223
ATG16L1	1	39.8649863617824	1	1	1	1	1	1	1	1
ATG16L2	1	1	1	1	1	1	1	1	39.7905061867138	1
ATG2A	1	39.934315731482	1	1	1	1	1	1	1	1
ATG4A	1	1	61.205184851733	1	1	1	1	1	1	33.8511279402896
ATG4C	1	1	44.0773648895651	1	1	1	1	1	34.389582414609	1
ATP10A	1	1	1	86.358109140508	1	1	1	1	1	1
ATP1A2	1	1	128.700890896579	206.592557553422	1	54.2529927795278	63.3906200389566	97.7769876084411	1	1
ATP2A3	1	49.1337006351737	1	1	1	1	1	49.8536260998077	1	1
ATP2B2	1	1	1	1	1	1	39.9081923139101	1	1	58.4746798865683
ATP5MGL	1	1	1	1	1	1	1	1	1	27.1508179492743
ATP6V0A2	35.5499555292561	1	104.28075725717	1	44.780026034393	45.8372269229116	1	1	1	1
ATP6V1G2	1	1	1	1	1	1	1	1	1	46.3021106051759
ATP8B1	1	1	1	1	1	1	1	74.7028544278168	1	1
ATP8B2	34.196973679201	1	104.116554979217	51.7640108075098	46.5945254187158	1	1	35.8146369133666	1	1
ATP9B	1	27.8097160927793	1	1	1	1	32.6494715407412	1	1	36.7187808218445
ATPAF2	1	1	1	1	1	1	1	1	1	45.0941570242205
ATRNL1	31.6946007342471	26.6016339832003	1	1	1	1	91.8414176774849	1	1	1
ATXN7L1	1	1	1	1	1	1	1	1	36.8967778369428	23.5050321633445
AVEN	1	20.7041525407794	1	1	1	1	1	1	1	1
AVL9	34.4530470979059	62.2303408572375	104.513476473063	1	33.583131654162	1	53.3457854858963	1	1	1
AVPI1	1	1	1	1	1	1	1	1	38.5801781992947	1
AVPR1B	1	1	1	1	1	1	1	1	1	64.8693173747692
AXIN2	1	1	1	33.8584873390897	1	1	1	1	1	1
AXL	1	1	1	288.25607975209	1	1	1	58.5094067104133	222.319854143467	1
B3GALT5	1	60.4510560161919	1	1	1	1	33.3037334745692	1	1	1
B3GAT3	32.1922683537641	1	1	1	1	1	1	1	1	1
B3GLCT	1	1	1	1	1	1	1	1	1	105.551158987864
B3GNT9	35.1701438113779	1	1	1	1	1	1	1	1	1
B4GALNT1	1	1	1	47.2487166672835	1	58.23665215567	37.6469825870334	1	1	1
B4GALNT3	1	47.3384985220798	1	1	1	1	28.9047558459649	1	1	1
BACE2	1	1	1	54.611662998564	1	74.5941981858531	1	49.9371424998212	1	1
BAMBI	1	1	1	71.1339164603598	1	111.799902872238	36.2096970512427	1	1	1
BANK1	1	1	1	1	1	1	34.5725536227871	1	1	51.1558181365288
BAP1	1	1	61.205184851733	33.4784330277171	1	1	26.0293506253122	31.107712019143	1	1
BARD1	1	1	1	1	1	40.0405630833125	1	1	1	1
BARX2	1	1	1	1	1	145.971274648703	1	1	1	1
BBOF1	43.0101820064516	68.0340285324903	1	1	44.836226341588	1	1	1	32.0436144504651	1
BBS10	27.8762513517957	26.434790312712	1	1	1	1	1	1	1	86.45502719872
BBS12	1	62.2303408572375	1	1	1	1	1	1	1	35.8305619401579
BCAM	1	1	1	40.3401020108279	1	34.6382465617521	44.7782999813879	205.736104553109	1	37.0609866634142
BCAR3	1	1	1	1	1	43.925041963634	1	1	1	1
BCAS3	1	1	1	57.4709394801915	1	1	1	1	1	33.0200240260225
BCAS4	1	39.5163568925355	1	1	1	1	44.7347992667615	1	1	1
BCAT1	317.30693473896	1	1	55.6933518791711	234.689203208472	40.2444389359594	1	51.1519487474562	119.411351335944	1
BCAT2	35.9364673500646	1	1	1	1	36.5615535874913	1	1	1	1
BCL11A	1	1	43.7258383735567	1	1	40.4422732815315	1	1	1	1
BCL2A1	1	331.051253030391	147.324871541482	1	1	1	1	1	125.641542739968	1
BCL7A	1	46.1187055906359	1	1	1	57.1779297199434	1	1	1	1
BCLAF3	1	1	1	1	1	1	51.7431613272547	1	1	46.8149291558129
BCO2	1	35.2965549801096	1	1	1	1	1	1	1	1
BCORL1	1	1	1	41.6704159996803	1	1	28.404512141433	1	1	1
BDNF	46.624883874493	1	1	1	1	1	1	1	1	1
BEGAIN	48.3453501780407	1	61.3907166056601	1	1	1	1	1	1	1
BEND6	1	1	1	1	1	1	1	1	1	31.7913243167709
BEND7	1	1	1	1	1	63.9784244575885	49.2181817271599	44.371456016661	1	1
BGN	1	1	1	1831.08706407448	1	1	1	585.933785880433	1	1
BHMT2	1	70.0175803906192	1	1	1	1	1	1	1	1
BICC1	1	1	1	88.0637599547557	1	1	1	1	1	1
BID	1	1	1	1	1	1	1	40.0675651270703	1	1
BIRC3	1	1	440.596146686886	1	83.735132506993	88.6679571347142	1	58.0505701367299	73.1797543432604	65.8278923821567
BLVRB	1	1	1	1	1	29.6603840663122	1	1	44.963979839195	1
BMP1	1	1	1	169.986645716724	1	1	1	46.3149141315549	1	1
BMP2	1	1	1	220.494607979663	1	1	1	93.857836075124	1	1
BMP2K	37.674273605672	40.8595940157115	214.43027581834	78.1521017775782	1	36.5697738595983	1	62.2862995964443	94.1219404563391	1
BMP4	1	1	1	43.4032975293135	1	1	1	65.7022078940985	1	1
BMP5	1	1	1	85.397695991606	1	1	95.842809919777	1	1	1
BMP6	1	1	1	1	1	48.2427461717304	1	1	1	46.9200388214509
BMPER	1	1	1	1	1	1	1	1	1	52.955570528429
BMT2	1	42.6771588255243	1	36.228269436458	1	1	1	1	1	1
BNIP1	31.3337806457716	39.6982742052641	1	1	1	1	1	1	1	1
BOC	1	1	1	1	1	95.6523671262428	42.58918317147	48.4159888023081	1	61.9974963270927
BOLA1	36.7075556918307	1	1	1	1	1	1	1	1	1
BOP1	1	42.8567040163125	1	1	1	1	1	1	1	31.0559838092448
BORCS5	1	1	1	1	1	1	1	1	1	32.7502790266773
BORCS8	1	46.8817463625602	1	1	33.6860714467677	1	1	1	1	1
BRD9	1	23.6695018092407	44.3259294225525	1	38.6906983164753	1	1	1	1	51.207087502182
BRF2	30.199573761369	20.7041525407794	1	1	1	1	1	1	1	1
BRINP1	42.4633692573795	1	1	1	40.0675024673686	1	1	1	1	1
BRINP2	1	1	103.684845703036	1	1	57.334281229771	1	1	1	1
BRPF1	1	1	44.4417529390534	1	1	1	1	35.549374743705	1	1
BTBD11	1	23.6810576833375	1	1	1	44.405199864621	42.1395701776335	1	1	70.5371121906437
BTBD19	1	1	1	1	1	1	55.1782400634397	1	31.8785709469478	29.1908650043582
BTC	1	1	1	1	1	1	35.5545492766614	1	1	1
BTN3A3	45.6518373917091	1	44.7991696368008	1	57.8365624303157	1	1	32.7221294792338	35.2954982629828	1
C10orf88	1	1	1	1	1	1	1	1	1	25.4938360888356
C11orf24	43.709619457933	1	1	63.2210517052792	1	1	1	1	1	1
C11orf96	1	64.1935629891194	1	1545.92440795188	1	96.8599548405636	261.998609083248	1085.50823931199	90.2646391136283	39.5207724366787
C12orf29	42.2523542782181	1	1	1	40.9074993007655	33.1528902311714	1	31.7529415968675	1	1
C12orf73	57.3027134949875	1	1	1	55.6874884771113	1	1	1	1	39.0389334004432
C12orf75	1	83.8382176647433	1	1	35.9140753201315	32.1177388396256	88.652145056808	1	38.7195620302994	1
C14orf28	1	27.7853164903666	1	1	1	1	1	1	1	1
C15orf65	40.6513003537235	1	31.087441404255	1	1	1	1	1	1	1
C16orf91	29.1657199834193	1	1	1	1	1	1	1	1	1
C17orf100	1	48.403836546087	1	1	1	1	1	1	1	45.1250460421261
C17orf107	1	1	61.205184851733	1	32.6521298485851	1	1	1	1	1
C17orf58	42.7462222189937	1	1	36.5605010435114	1	1	1	1	1	1
C18orf21	1	35.1022987790449	1	1	1	1	1	1	1	32.6663853082981
C19orf47	1	65.7844524955414	74.8866110410558	1	1	1	1	1	1	1
C1QA	1	1	1	1	1	1	1	1	653.883687807206	1
C1QB	1	1	1	1	1	1	1	1	1021.74067308315	1
C1QC	1	1	1	1	1	1	1	1	1232.61822095781	1
C1QTNF1	1	1	1	336.58332011346	1	1	1	132.950034360539	1	1
